"ID","weights","Tray cell","join_id","date","X600","X650","X750"
"Blank01",0,"A1","A01",2025-05-07,-0.00666666666666667,-0.00733333333333332,-0.00833333333333333
"Blank02",0,"A2","A02",2025-05-07,-0.00066666666666667,-0.00233333333333333,-0.00433333333333333
"Blank03",0,"A3","A03",2025-05-07,0.00733333333333334,0.00966666666666667,0.0126666666666667
"Lab_01",10.7,"A7","A04",2025-05-07,0.136333333333333,0.155666666666667,0.186666666666667
"Lab_01",9.6,"A8","A05",2025-05-07,0.116333333333333,0.132666666666667,0.159666666666667
"Lab_01",10.6,"A9","A06",2025-05-07,0.157333333333333,0.179666666666667,0.215666666666667
"Lab_02",11,"A10","A07",2025-05-07,0.0433333333333333,0.0526666666666667,0.0686666666666667
"Lab_02",10.3,"A11","A08",2025-05-07,0.0833333333333333,0.0916666666666667,0.105666666666667
"Lab_02",11,"A12","A09",2025-05-07,0.0553333333333333,0.0666666666666667,0.0776666666666667
"Lab_03",11,"A13","A10",2025-05-07,0.0433333333333333,0.0506666666666667,0.0616666666666667
"Lab_03",10.5,"A14","A11",2025-05-07,-0.0106666666666667,-0.0123333333333333,-0.0153333333333333
"Lab_03",9.4,"A15","A12",2025-05-07,0.136333333333333,0.153666666666667,0.182666666666667
"Lab_04",9.9,"A16","B01",2025-05-07,0.0643333333333333,0.0746666666666667,0.0896666666666667
"Lab_04",9.6,"B1","B02",2025-05-07,0.103333333333333,0.115666666666667,0.135666666666667
"Lab_04",9.8,"B2","B03",2025-05-07,0.125333333333333,0.139666666666667,0.164666666666667
"Lab_05",10.2,"B3","D03",2025-05-07,0.0713333333333333,0.0796666666666667,0.101666666666667
"Lab_05",10.3,"B4","D04",2025-05-07,0.108333333333333,0.122666666666667,0.149666666666667
"Lab_05",10.1,"B5","D05",2025-05-07,0.0963333333333333,0.104666666666667,0.119666666666667
"Lab_06",10.6,"B6","B06",2025-05-07,0.257333333333333,0.285666666666667,0.327666666666667
"Lab_06",10.5,"B7","B07",2025-05-07,0.262333333333333,0.288666666666667,0.333666666666667
"Lab_06",9.1,"B8","B08",2025-05-07,0.315333333333333,0.352666666666667,0.393666666666667
"Lab_07",9.4,"B9","B09",2025-05-07,0.0563333333333333,0.0696666666666667,0.0846666666666667
"Lab_07",10.1,"B10","B10",2025-05-07,0.0473333333333333,0.0566666666666667,0.0666666666666667
"Lab_07",11,"B11","B11",2025-05-07,0.148333333333333,0.168666666666667,0.200666666666667
"Lab_08",10.8,"B12","B12",2025-05-07,0.0783333333333333,0.0886666666666667,0.105666666666667
"Lab_08",10.4,"B13","D06",2025-05-07,0.0843333333333333,0.0936666666666667,0.113666666666667
"Lab_08",10.4,"B14","D07",2025-05-07,0.0743333333333333,0.0806666666666667,0.0956666666666667
"Lab_09",11,"B15","D08",2025-05-07,0.126333333333333,0.139666666666667,0.160666666666667
"Lab_09",9.5,"B16","D09",2025-05-07,0.113333333333333,0.129666666666667,0.156666666666667
"Lab_09",9.2,"C01","D10",2025-05-07,0.122333333333333,0.134666666666667,0.157666666666667
"Lab_10",9.5,"C02","D11",2025-05-07,0.0393333333333333,0.0456666666666667,0.0566666666666667
"Lab_10",10.6,"C03","D12",2025-05-07,0.0953333333333333,0.108666666666667,0.131666666666667
"Lab_10",11,"C04","E01",2025-05-07,0.136333333333333,0.156666666666667,0.190666666666667
"Lab_11",10,"C05","E02",2025-05-07,0.115333333333333,0.129666666666667,0.154666666666667
"Lab_11",9.9,"C06","E03",2025-05-07,0.126333333333333,0.143666666666667,0.173666666666667
"Lab_11",10.7,"C07","E04",2025-05-07,0.123333333333333,0.141666666666667,0.172666666666667
"Lab_12",10.6,"C08","E05",2025-05-07,0.152333333333333,0.174666666666667,0.208666666666667
"Lab_12",10.6,"C09","E06",2025-05-07,0.191333333333333,0.210666666666667,0.237666666666667
"Lab_12",10.8,"C10","E07",2025-05-07,0.205333333333333,0.231666666666667,0.269666666666667
"Lab_13",10.6,"C11","E08",2025-05-07,0.143333333333333,0.163666666666667,0.195666666666667
"Lab_13",9.5,"C12","E09",2025-05-07,0.131333333333333,0.147666666666667,0.174666666666667
"Lab_13",10.4,"C13","E10",2025-05-07,0.129333333333333,0.145666666666667,0.172666666666667
"Lab_14",9.2,"C14","E11",2025-05-07,0.161333333333333,0.169666666666667,0.196666666666667
"Lab_14",10.8,"C15","E12",2025-05-07,0.132333333333333,0.148666666666667,0.175666666666667
"Lab_14",10,"C16","F01",2025-05-07,0.127333333333333,0.142666666666667,0.168666666666667
"Lab_15",11,"D01","F02",2025-05-07,0.0943333333333333,0.109666666666667,0.136666666666667
"Lab_15",11,"D02","F03",2025-05-07,0.0583333333333333,0.0696666666666667,0.0876666666666667
"Lab_15",9.9,"D03","F04",2025-05-07,0.0993333333333333,0.110666666666667,0.133666666666667
"Lab_16",10.3,"D04","F05",2025-05-07,0.0753333333333333,0.0896666666666667,0.114666666666667
"Lab_16",10.1,"D05","F06",2025-05-07,0.110333333333333,0.123666666666667,0.152666666666667
"Lab_16",9,"D06","F07",2025-05-07,0.105333333333333,0.118666666666667,0.137666666666667
"Lab_17",10,"D07","F08",2025-05-07,0.0623333333333333,0.0736666666666667,0.0916666666666667
"Lab_17",10.1,"D08","F09",2025-05-07,0.0593333333333333,0.0666666666666667,0.0796666666666667
"Lab_17",10.2,"D09","F10",2025-05-07,0.0863333333333333,0.0986666666666667,0.119666666666667
"Lab_18",10.7,"D10","F11",2025-05-07,0.0993333333333333,0.110666666666667,0.130666666666667
"Lab_18",10,"D11","F12",2025-05-07,0.128333333333333,0.145666666666667,0.174666666666667
"Lab_18",10.5,"D12","G01",2025-05-07,0.0683333333333333,0.0806666666666667,0.100666666666667
"Lab_19",10.1,"D13","G02",2025-05-07,0.103333333333333,0.119666666666667,0.148666666666667
"Lab_19",10.9,"D14","G03",2025-05-07,0.167333333333333,0.188666666666667,0.223666666666667
"Lab_19",11,"D15","G04",2025-05-07,0.154333333333333,0.173666666666667,0.204666666666667
"Lab_20",10.4,"D16","G05",2025-05-07,0.0763333333333333,0.0866666666666667,0.102666666666667
"Lab_20",9.1,"E01","G06",2025-05-07,0.0953333333333333,0.106666666666667,0.127666666666667
"Lab_20",10.6,"E02","G07",2025-05-07,0.0973333333333333,0.111666666666667,0.136666666666667
"Lab_21",10.8,"E03","G08",2025-05-07,0.118333333333333,0.130666666666667,0.156666666666667
"Lab_21",10.3,"E04","G09",2025-05-07,0.0823333333333333,0.0936666666666667,0.119666666666667
"Lab_21",9.3,"E05","G10",2025-05-07,0.0983333333333333,0.0986666666666667,0.102666666666667
"Lab_22",11,"E06","G11",2025-05-07,0.129333333333333,0.148666666666667,0.186666666666667
"Lab_22",10.8,"E07","G12",2025-05-07,0.684333333333333,0.737666666666667,0.775666666666667
"Lab_22",10.7,"E08","H01",2025-05-07,0.0853333333333333,0.106666666666667,0.135666666666667
"Stan1.2A",NA,NA,"H02",2025-05-07,0.856333333333333,0.920666666666667,0.980666666666667
"Stand2.4A",NA,NA,"H03",2025-05-07,0.962333333333333,1.03566666666667,1.08966666666667
"Stand3.0A",NA,NA,"H04",2025-05-07,0.635333333333333,0.687666666666667,0.733666666666667
"Stand3.6A",NA,NA,"H05",2025-05-07,0.171333333333333,0.188666666666667,0.209666666666667
"Stand4.8A",NA,NA,"H06",2025-05-07,0.638333333333333,0.680666666666667,0.711666666666667
"Stand 4.8B",NA,NA,"H07",2025-05-07,0.476333333333333,0.519666666666667,0.568666666666667
"Stand3.6B",NA,NA,"H08",2025-05-07,0.203333333333333,0.223666666666667,0.249666666666667
"Stand3.0B",NA,NA,"H09",2025-05-07,0.231333333333333,0.251666666666667,0.276666666666667
"Stand2.4B",NA,NA,"H10",2025-05-07,0.716333333333333,0.769666666666667,0.807666666666667
"Stand 1.2B",NA,NA,"H11",2025-05-07,0.428333333333333,0.470666666666667,0.522666666666667
"Stand3.6",NA,NA,"H12",2025-05-07,1.28533333333333,1.36266666666667,1.38666666666667
