"join_id","X564","X592","X455","X565","ID","sample weight","Tray well","date","PE_mg_per_mL","Removal_Reason"
"A01",0.00233333333333333,0.00533333333333333,0.00633333333333333,0.00133333333333333,"Blank01",NA,"A1",2025-05-06,-0.000383999999999999,"removed because PE < 0"
"A05",0.118333333333333,0.131333333333333,0.199333333333333,0.159333333333333,"Lab_01",24.4,"A5",2025-05-06,-0.003192,"removed because PE < 0"
"D01",0.00533333333333333,0.00333333333333333,0.0153333333333333,0.00533333333333333,"Lab_12",25.4,"C5",2025-05-06,-4.80000000000005e-05,"removed because PE < 0"
"D03",0.00733333333333334,0.00633333333333334,0.0123333333333333,0.00133333333333333,"Lab_12",24.6,"C7",2025-05-06,-2.39999999999999e-05,"removed because PE < 0"
"E01",0.00333333333333333,0.00233333333333333,0.0123333333333333,0.00333333333333333,"Lab_16",25.5,"D1",2025-05-06,-0.00012,"removed because PE < 0"
"E03",0.00433333333333333,0.00233333333333333,0.0163333333333333,0.00433333333333333,"Lab_16",24.8,"D3",2025-05-12,-9.59999999999998e-05,"removed because PE < 0"
"E04",0.0106666666666667,0.0126666666666667,0.0256666666666667,0.0106666666666667,"Lab_17",25.4,"D4",2025-05-12,-0.000552,"removed because PE < 0"
"E06",0.0103333333333333,0.00833333333333334,0.0243333333333333,0.00933333333333334,"Lab_17",26,"D6",2025-05-12,-0.000144,"removed because PE < 0"
"E07",0.00233333333333333,0.000333333333333331,0.0133333333333333,0.00233333333333333,"Lab_18",26.8,"D7",2025-05-12,-7.19999999999999e-05,"removed because PE < 0"
"E09",0.0213333333333333,0.0203333333333333,0.0273333333333333,0.0223333333333333,"Lab_18",27,"D9",2025-05-12,-4.8e-05,"removed because PE < 0"
"F01",0.124333333333333,0.136333333333333,0.149333333333333,0.103333333333333,"Lab_20",27.7,"D13",2025-05-12,-0.001752,"removed because PE < 0"
"G04",0.00266666666666667,0.00066666666666667,0.0116666666666667,0.00266666666666667,"Lab_25",27,"E12",2025-05-12,-2.39999999999999e-05,"removed because PE < 0"
