"ID","490_mean","750_mean","Rep_mean","absorbance_mean","carb_mg_per_g_mean","carb_mg_total_mean","con_mg_per_ml_mean","490_sd","750_sd","Rep_sd","absorbance_sd","carb_mg_per_g_sd","carb_mg_total_sd","con_mg_per_ml_sd","490_se","750_se","Rep_se","absorbance_se","carb_mg_per_g_se","carb_mg_total_se","con_mg_per_ml_se","490_cv","750_cv","Rep_cv","absorbance_cv","carb_mg_per_g_cv","carb_mg_total_cv","con_mg_per_ml_cv","490_max_dev_pct","750_max_dev_pct","Rep_max_dev_pct","absorbance_max_dev_pct","carb_mg_per_g_max_dev_pct","carb_mg_total_max_dev_pct","con_mg_per_ml_max_dev_pct","490_n","750_n","Rep_n","absorbance_n","carb_mg_per_g_n","carb_mg_total_n","con_mg_per_ml_n","490_included_rows","750_included_rows","Rep_included_rows","absorbance_included_rows","carb_mg_per_g_included_rows","carb_mg_total_included_rows","con_mg_per_ml_included_rows","490_excluded_rows","750_excluded_rows","Rep_excluded_rows","absorbance_excluded_rows","carb_mg_per_g_excluded_rows","carb_mg_total_excluded_rows","con_mg_per_ml_excluded_rows","avg_sample_weight","replicate_date","replicate_count"
"Lab_02",0.636333333333333,0.0176666666666667,2,0.618666666666667,81.3442851269022,0.817986353719693,1.63597270743939,0.0102143689640297,0.0217791949652262,1,0.0290057465570761,9.1160529340303,0.0375276061268031,0.0750552122536063,0.00589726867098472,0.0125742240759067,0.577350269189626,0.016746475582774,5.26315561540927,0.021666573499352,0.0433331469987041,0.0160519156061232,1.23278462067318,0.5,0.0468842886159636,0.112067527790166,0.0458780344637181,0.0458780344637181,1.83342063907806,137.735849056604,50,4.74137931034483,12.9400645085332,4.63961744599224,4.63961744599224,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,10.1633333333333,,3
"Lab_03",0.616,0.0276666666666667,2,0.588333333333333,84.8594119838791,0.778741117138508,1.55748223427702,0.0502692749102273,0.0335608899365516,1,0.0221434715736565,11.8061245984513,0.0286492015594585,0.057298403118917,0.029022979401387,0.0193763888391115,0.577350269189626,0.0127845392738434,6.81626921500213,0.0165406242324212,0.0330812484648424,0.081605965763356,1.21304421457416,0.5,0.0376376287370933,0.139125694162177,0.0367891214794594,0.0367891214794594,8.60389610389611,134.939759036145,50,4.3059490084986,15.9598776107213,4.20887517289026,4.20887517289026,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,9.27333333333333,,3
"Lab_08",0.57,0.036,2,0.534,66.1842977887198,0.708444704361219,1.41688940872244,0.0756240702422185,0.0327414110874898,1,0.0527162214123889,15.2498361296694,0.068204194977869,0.136408389955738,0.04366157731156,0.0189032625050104,0.577350269189626,0.0304357246231026,8.80449699456233,0.0393777103303344,0.0787554206606687,0.132673807442489,0.909483641319161,0.5,0.0987195157535372,0.230414715259978,0.0962731382675327,0.0962731382675327,14.5614035087719,100,50,10.6741573033708,25.7750761242869,10.4096400201395,10.4096400201395,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,10.9633333333333,,3
"Lab_09",0.702666666666667,0.0633333333333333,2,0.639333333333333,82.9038644720791,0.844724866555226,1.68944973311045,0.0357957166897568,0.00763762615825974,1,0.0328075194632776,9.72796113711633,0.0424463361421377,0.0848926722842754,0.0206666666666667,0.00440958551844099,0.577350269189626,0.0189414301935672,5.61644098118033,0.0245064035977765,0.0490128071955531,0.0509426708108493,0.12059409723568,0.5,0.0513152024973059,0.117340261507262,0.0502487115304574,0.0502487115304574,5.5977229601518,13.1578947368421,50,5.89155370177269,13.0672447524522,5.76910872449771,5.76910872449771,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,10.2833333333333,,3
"Lab_10",0.643333333333333,0.065,2,0.578333333333333,72.3218677933947,0.765803127056798,1.5316062541136,0.0572392639132731,0.0153948043183407,1,0.0486757982300582,13.954875404432,0.0629766994719787,0.125953398943957,0.0330471044285443,0.00888819441731559,0.577350269189626,0.028102985211144,8.05685107125648,0.0363596143928211,0.0727192287856421,0.0889729490879893,0.236843143359087,0.5,0.0841656453545675,0.192955130034771,0.0822361482304418,0.0822361482304418,10.2072538860104,26.1538461538462,50,9.10662824207494,21.3789110728062,8.89785882161196,8.89785882161196,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,10.7333333333333,,3
"Lab_11",0.7,0.0633,2,0.6367,81.9069576828736,0.841317862500376,1.68263572500075,0.145006896387724,0.0610603799529613,1,0.205463062373751,12.7403641083355,0.265827906314926,0.531655812629852,0.0837197706638043,0.035253226802663,0.577350269189626,0.11862415437001,7.35565264752136,0.153475813269037,0.306951626538074,0.207152709125319,0.964618956602864,0.5,0.322699956610258,0.155546787095469,0.315966079128395,0.315966079128395,22.5714285714286,97.4723538704582,50,34.5060468038323,16.0683475806655,33.7859987009406,33.7859987009406,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,10.1,,3
"Lab_12",0.755,0.100333333333333,2,0.654666666666667,71.1091133097854,0.864563118013847,1.72912623602769,0.0759012516365837,0.074473709007497,1,0.00378593889720021,2.17114024453791,0.00489824399019343,0.00979648798038687,0.0438216080642111,0.0429974159430282,0.577350269189626,0.00218581284143402,1.25350840463239,0.00282800248629465,0.00565600497258929,0.100531459121303,0.742262880473392,0.5,0.00578300238879869,0.0305325174718377,0.00566557130200757,0.00566557130200757,11.2582781456954,82.0598006644518,50,0.661914460285144,3.50206492586617,0.648473460401656,0.648473460401656,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,12.1666666666667,,3
"Lab_13",0.712333333333333,0.068,2,0.644333333333333,76.0931978931817,0.851193861596081,1.70238772319216,0.00351188458428425,0.0062449979983984,1,0.00808290376865477,7.25395734782288,0.0104576528790268,0.0209153057580536,0.00202758751009941,0.00360555127546399,0.577350269189626,0.00466666666666667,4.18807422745561,0.00603772870479779,0.0120754574095956,0.00493011406310377,0.0918382058587999,0.5,0.0125445997444202,0.0953299052828067,0.0122858650077875,0.0122858650077875,0.514740290126351,10.2941176470588,50,1.34505949301604,10.7593739675361,1.31731738718794,1.31731738718794,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,11.2666666666667,,3
"Lab_16",0.914333333333333,0.146666666666667,2,0.767666666666667,96.9043728971862,1.01076240593716,2.02152481187433,0.0648408307575816,0.0670994287109312,1,0.126179765942616,6.9184443411052,0.163251256027799,0.326502512055599,0.0374358710923687,0.0387398732287262,0.577350269189626,0.0728499218332533,3.99436570271053,0.0942531566131944,0.188506313226389,0.0709159651012558,0.457496104847258,0.5,0.164367910476703,0.0713945525290746,0.161512987690154,0.161512987690154,7.47356908494349,52.0454545454545,50,18.8449848024316,7.65373271747818,18.5176643639798,18.5176643639798,3,3,3,3,3,3,3,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",,,,,,,,10.4666666666667,,3
"Lab_17",1.0135,0.2325,1.5,0.781,87.1197507948682,1.02801305937944,2.05602611875889,0.11667261889578,0.0615182899632297,0.707106781186548,0.0551543289325508,6.04734034485326,0.0713586160692686,0.142717232138537,0.0825,0.0435,0.5,0.039,4.27611536598874,0.0504581613186671,0.100916322637334,0.115118518890755,0.264594795540773,0.471404520791032,0.070620139478298,0.0694141143618777,0.0694141143618778,0.0694141143618778,8.14010853478046,18.7096774193548,33.3333333333333,4.99359795134443,4.90831909753423,4.90831909753423,4.90831909753423,2,2,2,2,2,2,2,"1,2","1,2","1,2","1,2","1,2","1,2","1,2",,,,,,,,11.8,,2
